timestamp,id,weight
2024-07-26 12:05:28,2,17.14
2024-07-26 12:05:29,1,12.59
2024-07-26 12:05:30,1,18.64
2024-07-26 12:05:31,1,14.46
2024-07-26 12:05:32,3,13.32
2024-07-26 12:05:33,2,18.34
2024-07-26 12:05:34,1,12.76
2024-07-26 12:05:35,2,20.52
2024-07-26 12:05:36,3,11.63
2024-07-26 12:05:37,2,22.70
2024-07-26 12:05:38,2,17.58
2024-07-26 12:05:39,3,11.08
2024-07-26 12:05:40,1,13.07
2024-07-26 12:05:41,1,13.02
2024-07-26 12:05:42,3,17.16
2024-07-26 12:05:43,1,21.95
2024-07-26 12:05:44,3,14.01
2024-07-26 12:05:45,1,19.53
2024-07-26 12:05:46,1,15.18
2024-07-26 12:05:47,3,12.51
2024-07-26 12:05:48,1,18.22
2024-07-26 12:05:49,2,11.93
2024-07-26 12:05:50,2,21.94
2024-07-26 12:05:51,2,20.10
2024-07-26 12:05:52,3,17.88
2024-07-26 12:05:53,3,14.98
2024-07-26 12:05:54,3,15.53
2024-07-26 12:05:55,1,13.49
2024-07-26 12:05:56,3,16.52
2024-07-26 12:05:57,3,14.01
2024-07-26 12:05:58,3,16.62
2024-07-26 12:05:59,3,19.50
2024-07-26 12:06:00,2,14.83
2024-07-26 12:06:01,2,12.70
2024-07-26 12:06:02,1,15.42
2024-07-26 12:06:03,1,17.44
2024-07-26 12:06:04,2,22.36
2024-07-26 12:06:05,1,19.19
2024-07-26 12:06:06,3,19.28
2024-07-26 12:06:07,2,13.55
2024-07-26 12:06:08,1,16.35
2024-07-26 12:06:09,3,15.11
2024-07-26 12:06:10,3,14.58
2024-07-26 12:06:11,2,16.55
2024-07-26 12:06:12,1,15.28
2024-07-26 12:06:13,2,10.00
2024-07-26 12:06:14,3,15.51
2024-07-26 12:06:15,2,17.17
2024-07-26 12:06:16,1,15.73
2024-07-26 12:06:17,3,14.08
2024-07-26 12:06:18,3,14.48
2024-07-26 12:06:19,2,10.16
2024-07-26 12:06:20,1,19.87
2024-07-26 12:06:21,3,9.63
2024-07-26 12:06:22,2,9.22
2024-07-26 12:06:23,1,10.57
2024-07-26 12:06:24,2,11.19
2024-07-26 12:06:25,3,17.77
2024-07-26 12:06:26,3,14.18
