timestamp,id,status,stressLevel
2024-07-26 12:05:28,3,aaa,6
2024-07-26 12:05:29,2,bbb,7
2024-07-26 12:05:30,3,bbb,6
2024-07-26 12:05:31,2,aaa,1
2024-07-26 12:05:32,2,bbb,4
2024-07-26 12:05:33,1,ccc,3
2024-07-26 12:05:34,1,bbb,3
2024-07-26 12:05:35,3,ccc,4
2024-07-26 12:05:36,3,ccc,5
2024-07-26 12:05:37,3,ccc,5
2024-07-26 12:05:38,3,ccc,8
2024-07-26 12:05:39,2,bbb,4
2024-07-26 12:05:40,2,bbb,7
2024-07-26 12:05:41,2,bbb,5
2024-07-26 12:05:42,3,aaa,2
2024-07-26 12:05:43,3,aaa,7
2024-07-26 12:05:44,2,ccc,7
2024-07-26 12:05:45,1,aaa,3
2024-07-26 12:05:46,3,aaa,4
2024-07-26 12:05:47,1,ccc,6
2024-07-26 12:05:48,3,bbb,6
2024-07-26 12:05:49,1,aaa,4
2024-07-26 12:05:50,3,bbb,2
2024-07-26 12:05:51,2,bbb,4
2024-07-26 12:05:52,3,bbb,4
2024-07-26 12:05:53,3,bbb,4
2024-07-26 12:05:54,3,ccc,6
2024-07-26 12:05:55,2,bbb,1
2024-07-26 12:05:56,2,bbb,3
2024-07-26 12:05:57,2,bbb,6
2024-07-26 12:05:58,3,ccc,5
2024-07-26 12:05:59,2,bbb,4
2024-07-26 12:06:00,1,bbb,7
2024-07-26 12:06:01,1,aaa,1
2024-07-26 12:06:02,2,aaa,6
2024-07-26 12:06:03,2,ccc,8
2024-07-26 12:06:04,3,aaa,8
2024-07-26 12:06:05,2,bbb,8
2024-07-26 12:06:06,2,bbb,3
2024-07-26 12:06:07,1,ccc,5
2024-07-26 12:06:08,3,aaa,8
2024-07-26 12:06:09,1,bbb,2
2024-07-26 12:06:10,3,aaa,1
2024-07-26 12:06:11,2,bbb,1
2024-07-26 12:06:12,2,bbb,8
2024-07-26 12:06:13,2,ccc,2
2024-07-26 12:06:14,3,aaa,7
2024-07-26 12:06:15,3,ccc,2
2024-07-26 12:06:16,2,ccc,5
2024-07-26 12:06:17,3,bbb,8
2024-07-26 12:06:18,1,ccc,3
2024-07-26 12:06:19,2,ccc,3
2024-07-26 12:06:20,3,ccc,5
2024-07-26 12:06:21,3,bbb,7
2024-07-26 12:06:22,1,aaa,5
2024-07-26 12:06:23,1,aaa,2
2024-07-26 12:06:24,3,bbb,6
2024-07-26 12:06:25,2,bbb,2
2024-07-26 12:06:26,3,bbb,6
